complexity,r,count_on_policy,count_off_policy,expression,traversal,nmse_test,nmse_test_noiseless,success,f1_score,f1_score_noiseless
1,0.014434615648357674,1185,0,x16,x16,63.258059653373536,63.258059653373536,False,0.014434615648357674,0.014434615648357674
5,0.015108593012275733,1,0,"fuzzy_not(product_conorm(x7, fuzzy_not(x9)))","fuzzy_not,product_conorm,x7,fuzzy_not,x9",19.5099783564788,19.5099783564788,False,0.015108593012275733,0.015108593012275733
6,0.021168453976764968,1,0,"product_norm(x1, fuzzy_not(fuzzy_not(fuzzy_not(x12))))","product_norm,x1,fuzzy_not,fuzzy_not,fuzzy_not,x12",38.56662012264294,38.56662012264294,False,0.021168453976764968,0.021168453976764968
7,0.06728425158459288,1,0,"godel_norm(fuzzy_not(fuzzy_not(x1)), fuzzy_not(fuzzy_not(x13)))","godel_norm,fuzzy_not,fuzzy_not,x1,fuzzy_not,fuzzy_not,x13",6.314802650038454,6.314802650038454,False,0.06728425158459288,0.06728425158459288
9,0.1015701668302257,1,0,"product_norm(fuzzy_not(fuzzy_not(lukasiewicz_norm(fuzzy_not(fuzzy_not(x1)), x13))), x11)","product_norm,fuzzy_not,fuzzy_not,lukasiewicz_norm,fuzzy_not,fuzzy_not,x1,x13,x11",4.029414062457017,4.029414062457017,False,0.1015701668302257,0.1015701668302257
14,0.1059365404298874,1,0,"fuzzy_not(product_conorm(fuzzy_not(x1), fuzzy_not(fuzzy_not(godel_conorm(fuzzy_not(product_norm(product_norm(x11, x10), x13)), x14)))))","fuzzy_not,product_conorm,fuzzy_not,x1,fuzzy_not,fuzzy_not,godel_conorm,fuzzy_not,product_norm,product_norm,x11,x10,x13,x14",3.844558365435504,3.844558365435504,False,0.1059365404298874,0.1059365404298874
15,0.11180555555555557,1,0,"lukasiewicz_norm(x13, product_norm(godel_conorm(x4, fuzzy_not(x10)), fuzzy_not(godel_s_implication(x1, fuzzy_not(fuzzy_not(fuzzy_not(x1)))))))","lukasiewicz_norm,x13,product_norm,godel_conorm,x4,fuzzy_not,x10,fuzzy_not,godel_s_implication,x1,fuzzy_not,fuzzy_not,fuzzy_not,x1",2.814648053458506,2.814648053458506,False,0.11180555555555557,0.11180555555555557
19,0.1135135135135135,1,0,"product_norm(x4, fuzzy_not(fuzzy_not(lukasiewicz_r_implication(product_norm(product_conorm(x12, x4), x3), product_norm(fuzzy_not(fuzzy_not(x9)), fuzzy_not(product_conorm(x3, x3)))))))","product_norm,x4,fuzzy_not,fuzzy_not,lukasiewicz_r_implication,product_norm,product_conorm,x12,x4,x3,product_norm,fuzzy_not,fuzzy_not,x9,fuzzy_not,product_conorm,x3,x3",1.804543709019527,1.804543709019527,False,0.1135135135135135,0.1135135135135135
21,0.1265667991439927,1,0,"lukasiewicz_norm(product_s_implication(fuzzy_not(x15), godel_r_implication(fuzzy_not(lukasiewicz_norm(fuzzy_not(fuzzy_not(fuzzy_not(fuzzy_not(x10)))), fuzzy_not(fuzzy_not(product_norm(x9, x1))))), x15)), x13)","lukasiewicz_norm,product_s_implication,fuzzy_not,x15,godel_r_implication,fuzzy_not,lukasiewicz_norm,fuzzy_not,fuzzy_not,fuzzy_not,fuzzy_not,x10,fuzzy_not,fuzzy_not,product_norm,x9,x1,x15,x13",3.143647180895603,3.143647180895603,False,0.1265667991439927,0.1265667991439927
