complexity,r,count_on_policy,count_off_policy,expression,traversal,nmse_test,nmse_test_noiseless,success,f1_score,f1_score_noiseless
1,0.014434615648357674,1077,0,x16,x16,63.258059653373536,63.258059653373536,False,0.014434615648357674,0.014434615648357674
6,0.02568707851841811,1,0,"lukasiewicz_norm(fuzzy_not(x12), godel_norm(x8, x1))","lukasiewicz_norm,fuzzy_not,x12,godel_norm,x8,x1",31.63563181586611,31.63563181586611,False,0.02568707851841811,0.02568707851841811
7,0.06728425158459288,1,0,"fuzzy_not(fuzzy_not(fuzzy_not(fuzzy_not(product_norm(x13, x1)))))","fuzzy_not,fuzzy_not,fuzzy_not,fuzzy_not,product_norm,x13,x1",6.314802650038454,6.314802650038454,False,0.06728425158459288,0.06728425158459288
9,0.11180555555555557,1,0,"lukasiewicz_norm(x4, product_norm(fuzzy_not(fuzzy_not(x1)), lukasiewicz_norm(x1, x13)))","lukasiewicz_norm,x4,product_norm,fuzzy_not,fuzzy_not,x1,lukasiewicz_norm,x1,x13",2.814648053458506,2.814648053458506,False,0.11180555555555557,0.11180555555555557
10,0.11586901763224182,1,0,"godel_norm(x13, fuzzy_not(fuzzy_not(fuzzy_not(lukasiewicz_s_implication(x9, fuzzy_not(x1))))))","godel_norm,x13,fuzzy_not,fuzzy_not,fuzzy_not,lukasiewicz_s_implication,x9,fuzzy_not,x1",3.4759473029223695,3.4759473029223695,False,0.11586901763224182,0.11586901763224182
13,0.11860036832412525,1,0,"lukasiewicz_norm(x11, fuzzy_not(fuzzy_not(fuzzy_not(fuzzy_not(fuzzy_not(fuzzy_not(godel_norm(godel_norm(x1, x4), x13))))))))","lukasiewicz_norm,x11,fuzzy_not,fuzzy_not,fuzzy_not,fuzzy_not,fuzzy_not,fuzzy_not,godel_norm,godel_norm,x1,x4,x13",2.6330933510266634,2.6330933510266634,False,0.11860036832412525,0.11860036832412525
14,0.1277795176949577,1,0,"fuzzy_not(fuzzy_not(fuzzy_not(fuzzy_not(product_conorm(fuzzy_not(x11), fuzzy_not(product_s_implication(fuzzy_not(x3), fuzzy_not(x16))))))))","fuzzy_not,fuzzy_not,fuzzy_not,fuzzy_not,product_conorm,fuzzy_not,x11,fuzzy_not,product_s_implication,fuzzy_not,x3,fuzzy_not,x16",3.064423310743526,3.064423310743526,False,0.1277795176949577,0.1277795176949577
