complexity,r,count_on_policy,count_off_policy,expression,traversal,nmse_test,nmse_test_noiseless,success,f1_score,f1_score_noiseless
2,0.0014416198451581966,1,0,fuzzy_not(x21),"fuzzy_not,x21",708.8722293365499,708.8722293365499,False,0.0014416198451581966,0.0014416198451581966
3,0.008046433741094997,1,0,fuzzy_not(fuzzy_not(x12)),"fuzzy_not,fuzzy_not,x12",154.5023985032764,154.5023985032764,False,0.008046433741094997,0.008046433741094997
4,0.017801857585139316,1,0,"fuzzy_and(x15, fuzzy_not(x7))","fuzzy_and,x15,fuzzy_not,x7",19.634684414721303,19.634684414721303,False,0.017801857585139316,0.017801857585139316
5,0.09920920201294033,1,0,"fuzzy_and(x18, x1*x10)","fuzzy_and,x18,mul,x10,x1",4.154383581838195,4.154383581838195,False,0.09920920201294033,0.09920920201294033
7,0.1046962516156829,1,0,"product_reichenbach(probabilistic_sum(x4, fuzzy_not(x21)), fuzzy_not(x3))","product_reichenbach,probabilistic_sum,x4,fuzzy_not,x21,fuzzy_not,x3",4.593141305166145,4.593141305166145,False,0.1046962516156829,0.1046962516156829
8,0.11073825503355704,1,0,"x1*fuzzy_not(product_reichenbach(x14*x18, x7))","mul,x1,fuzzy_not,product_reichenbach,mul,x14,x18,x7",1.171494173117448,1.171494173117448,False,0.11073825503355704,0.11073825503355704
9,0.12128922815945715,1,0,fuzzy_not(fuzzy_not(x1*x15*x18*x4)),"fuzzy_not,fuzzy_not,mul,x4,mul,mul,x15,x1,x18",2.2899395534899547,2.2899395534899547,False,0.12128922815945715,0.12128922815945715
15,0.13420929141248242,1,0,"fuzzy_not(fuzzy_not(fuzzy_and(x1**2*x12*x18*x8*x9, x4)))","fuzzy_not,fuzzy_not,fuzzy_and,mul,mul,mul,mul,x8,x1,x9,mul,x18,x1,x12,x4",2.0390629711336707,2.0390629711336707,False,0.13420929141248242,0.13420929141248242
19,0.13496932515337423,1,0,"x1**2*x12**2*x15*x18*x4*x8*fuzzy_and(x18, x10)","mul,mul,x15,mul,mul,mul,mul,x12,x1,mul,mul,x12,fuzzy_and,x18,x10,x8,x1,x18,x4",2.0258007729474357,2.0258007729474357,False,0.13496932515337423,0.13496932515337423
21,0.13541666666666669,1,0,"fuzzy_not(product_reichenbach(x16, fuzzy_not(x1*x10*x12**2*x15*x8*product_reichenbach(x1, x18*x4))))","fuzzy_not,product_reichenbach,x16,fuzzy_not,mul,mul,product_reichenbach,x1,mul,x4,x18,mul,mul,mul,x15,mul,x8,x12,x10,x12,x1",2.0180644906721317,2.0180644906721317,False,0.13541666666666669,0.13541666666666669
