seed,r,nmse_test,nmse_test_noiseless,success,f1_score,f1_score_noiseless,expression,traversal,error_true_divide,error_node_invalid,error_node_divide,n_samples,n_cached,t
1,0.13623978201634876,1.490246801853089,1.490246801853089,False,0.13623978201634876,0.13623978201634876,"product_reichenbach(x1 + x3, x21 - x3)","product_reichenbach,add,x3,x1,sub,x21,x3",3049,404,2645,20000,16918,1022.541787147522
2,0.1625,1.2598931952575012,1.2598931952575012,False,0.1625,0.1625,"product_reichenbach(x3, -x14 - x2 + x21)","product_reichenbach,x3,sub,x21,add,x14,x2",3398,402,2996,20000,19617,1040.1809210777285
3,0.14678899082568808,3.060412201912811,3.060412201912811,False,0.14678899082568808,0.14678899082568808,"product_reichenbach(x2, -x11 + x21 - x3 - x4 + x9)","product_reichenbach,x2,add,sub,sub,sub,x4,x4,x4,add,x11,x3,add,x9,x21",4198,447,3751,20000,19975,1196.3536920547485
0,0.14501510574018125,1.330409605439824,1.330409605439824,False,0.14501510574018125,0.14501510574018125,"product_reichenbach(-x6 + x8, x21 - x3*(x21 + 0.3171670137451225))","product_reichenbach,sub,x8,x6,sub,x21,mul,x3,sub,x21,-0.3171670137451225",4044,346,3698,20000,19985,2829.293413877487
