complexity,r,count_on_policy,count_off_policy,expression,traversal,nmse_test,nmse_test_noiseless,success,f1_score,f1_score_noiseless
1,0.015351262670650965,5470,0,x14,x14,64.71874975930244,64.71874975930244,False,0.015351262670650965,0.015351262670650965
4,0.01552485277409171,1,0,"lukasiewicz_norm(fuzzy_not(x2), x14)","lukasiewicz_norm,fuzzy_not,x2,x14",62.44876581313947,62.44876581313947,False,0.01552485277409171,0.01552485277409171
5,0.03597472046669907,1,0,"fuzzy_not(lukasiewicz_s_implication(x14, x9))","fuzzy_not,lukasiewicz_s_implication,x14,x9",10.909787118858906,10.909787118858906,False,0.03597472046669907,0.03597472046669907
6,0.049832894057549655,1,0,"godel_norm(x14, fuzzy_not(fuzzy_not(fuzzy_not(x3))))","godel_norm,x14,fuzzy_not,fuzzy_not,fuzzy_not,x3",19.238746634360922,19.238746634360922,False,0.049832894057549655,0.049832894057549655
7,0.11386353759235116,1,0,"product_norm(fuzzy_not(x3), product_norm(fuzzy_not(x3), x14))","product_norm,fuzzy_not,x3,product_norm,fuzzy_not,x3,x14",7.852515963059665,7.852515963059665,False,0.11386353759235116,0.11386353759235116
8,0.1297134238310709,1,0,"fuzzy_not(lukasiewicz_conorm(x3, fuzzy_not(lukasiewicz_norm(fuzzy_not(x4), x14))))","fuzzy_not,lukasiewicz_conorm,x3,fuzzy_not,lukasiewicz_norm,fuzzy_not,x4,x14",1.9046738782395127,1.9046738782395127,False,0.1297134238310709,0.1297134238310709
9,0.14333638304361085,1,0,"lukasiewicz_norm(lukasiewicz_norm(x14, fuzzy_not(x9)), fuzzy_not(fuzzy_not(fuzzy_not(x3))))","lukasiewicz_norm,lukasiewicz_norm,x14,fuzzy_not,x9,fuzzy_not,fuzzy_not,fuzzy_not,x3",1.545415633730442,1.545415633730442,False,0.14333638304361085,0.14333638304361085
14,0.1473684210526316,1,0,"fuzzy_not(godel_s_implication(fuzzy_not(fuzzy_not(lukasiewicz_norm(fuzzy_not(x2), x14))), lukasiewicz_s_implication(fuzzy_not(x3), x8)))","fuzzy_not,godel_s_implication,fuzzy_not,fuzzy_not,lukasiewicz_norm,fuzzy_not,x2,x14,lukasiewicz_s_implication,fuzzy_not,x3,x8",1.2477759548952092,1.2477759548952092,False,0.1473684210526316,0.1473684210526316
15,0.15356679636835277,1,0,"fuzzy_not(lukasiewicz_s_implication(fuzzy_not(x2), lukasiewicz_s_implication(fuzzy_not(x3), lukasiewicz_s_implication(fuzzy_not(fuzzy_not(x4)), x2))))","fuzzy_not,lukasiewicz_s_implication,fuzzy_not,x2,lukasiewicz_s_implication,fuzzy_not,x3,lukasiewicz_s_implication,fuzzy_not,fuzzy_not,x4,x2",1.7951908910154621,1.7951908910154621,False,0.15356679636835277,0.15356679636835277
20,0.15522197381028424,1,0,"fuzzy_not(fuzzy_not(lukasiewicz_norm(x4, fuzzy_not(godel_conorm(fuzzy_not(fuzzy_not(godel_s_implication(fuzzy_not(godel_conorm(x2, fuzzy_not(godel_s_implication(x8, x4)))), x3))), x14)))))","fuzzy_not,fuzzy_not,lukasiewicz_norm,x4,fuzzy_not,godel_conorm,fuzzy_not,fuzzy_not,godel_s_implication,fuzzy_not,godel_conorm,x2,fuzzy_not,godel_s_implication,x8,x4,x3,x14",1.455188448279466,1.455188448279466,False,0.15522197381028424,0.15522197381028424
