complexity,r,count_on_policy,count_off_policy,expression,traversal,nmse_test,nmse_test_noiseless,success,f1_score,f1_score_noiseless
1,0.015351262670650965,5270,0,x14,x14,64.71874975930244,64.71874975930244,False,0.015351262670650965,0.015351262670650965
4,0.043959955506117906,1,0,"product_norm(x14, fuzzy_not(x4))","product_norm,x14,fuzzy_not,x4",11.821411791372734,11.821411791372734,False,0.043959955506117906,0.043959955506117906
6,0.049832894057549655,1,0,"product_norm(x14, godel_conorm(fuzzy_not(x3), x13))","product_norm,x14,godel_conorm,fuzzy_not,x3,x13",19.238746634360922,19.238746634360922,False,0.049832894057549655,0.049832894057549655
7,0.1297134238310709,1,0,"fuzzy_not(lukasiewicz_conorm(x3, godel_conorm(x4, fuzzy_not(x14))))","fuzzy_not,lukasiewicz_conorm,x3,godel_conorm,x4,fuzzy_not,x14",1.9046738782395127,1.9046738782395127,False,0.1297134238310709,0.1297134238310709
9,0.1310598462052825,1,0,"fuzzy_not(lukasiewicz_s_implication(fuzzy_not(x8), lukasiewicz_conorm(x3, fuzzy_not(x14))))","fuzzy_not,lukasiewicz_s_implication,fuzzy_not,x8,lukasiewicz_conorm,x3,fuzzy_not,x14",1.4298808230919968,1.4298808230919968,False,0.1310598462052825,0.1310598462052825
10,0.14333638304361085,1,0,"fuzzy_not(lukasiewicz_conorm(x3, fuzzy_not(lukasiewicz_norm(x14, fuzzy_not(fuzzy_not(fuzzy_not(x9)))))))","fuzzy_not,lukasiewicz_conorm,x3,fuzzy_not,lukasiewicz_norm,x14,fuzzy_not,fuzzy_not,fuzzy_not,x9",1.545415633730442,1.545415633730442,False,0.14333638304361085,0.14333638304361085
15,0.1526175687666371,1,0,"fuzzy_not(fuzzy_not(fuzzy_not(lukasiewicz_conorm(x3, godel_s_implication(x14, godel_conorm(fuzzy_not(fuzzy_not(product_conorm(x13, x2))), x4))))))","fuzzy_not,fuzzy_not,fuzzy_not,lukasiewicz_conorm,x3,godel_s_implication,x14,godel_conorm,fuzzy_not,fuzzy_not,product_conorm,x13,x2,x4",1.576224916567361,1.576224916567361,False,0.1526175687666371,0.1526175687666371
16,0.15940685820203893,1,0,"fuzzy_not(godel_s_implication(lukasiewicz_norm(fuzzy_not(fuzzy_not(fuzzy_not(lukasiewicz_conorm(x4, godel_conorm(x3, fuzzy_not(fuzzy_not(x2))))))), x14), x9))","fuzzy_not,godel_s_implication,lukasiewicz_norm,fuzzy_not,fuzzy_not,fuzzy_not,lukasiewicz_conorm,x4,godel_conorm,x3,fuzzy_not,fuzzy_not,x2,x14,x9",1.4970010464152843,1.4970010464152843,False,0.15940685820203893,0.15940685820203893
18,0.164044364199123,1,0,"fuzzy_not(lukasiewicz_s_implication(fuzzy_not(lukasiewicz_conorm(fuzzy_not(fuzzy_not(lukasiewicz_conorm(fuzzy_not(x4), lukasiewicz_s_implication(x4, x12)))), godel_conorm(x3, x3))), x3))","fuzzy_not,lukasiewicz_s_implication,fuzzy_not,lukasiewicz_conorm,fuzzy_not,fuzzy_not,lukasiewicz_conorm,fuzzy_not,x4,lukasiewicz_s_implication,x4,x12,godel_conorm,x3,x3,x3",1.7830872441866723,1.7830872441866723,False,0.164044364199123,0.164044364199123
19,0.1651440618411806,1,0,"fuzzy_not(lukasiewicz_s_implication(fuzzy_not(lukasiewicz_s_implication(x14, lukasiewicz_conorm(x2, x3))), fuzzy_not(lukasiewicz_s_implication(product_conorm(x9, godel_norm(x14, x3)), x3))))","fuzzy_not,lukasiewicz_s_implication,fuzzy_not,lukasiewicz_s_implication,x14,lukasiewicz_conorm,x2,x3,fuzzy_not,lukasiewicz_s_implication,product_conorm,x9,godel_norm,x14,x3,x3",1.307193857509267,1.307193857509267,False,0.1651440618411806,0.1651440618411806
