complexity,r,count_on_policy,count_off_policy,expression,traversal,nmse_test,nmse_test_noiseless,success,f1_score,f1_score_noiseless
1,0.014434615648357674,5080,0,x16,x16,63.258059653373536,63.258059653373536,False,0.014434615648357674,0.014434615648357674
5,0.045990823683635565,1,0,"fuzzy_not(godel_conorm(fuzzy_not(x16), x3))","fuzzy_not,godel_conorm,fuzzy_not,x16,x3",19.218390501057964,19.218390501057964,False,0.045990823683635565,0.045990823683635565
7,0.07605466428995841,1,0,"godel_norm(godel_norm(fuzzy_not(x7), x16), fuzzy_not(x3))","godel_norm,godel_norm,fuzzy_not,x7,x16,fuzzy_not,x3",3.4220310579577613,3.4220310579577613,False,0.07605466428995841,0.07605466428995841
16,0.0766065210509655,1,0,"fuzzy_not(godel_s_implication(fuzzy_not(godel_s_implication(x1, fuzzy_not(fuzzy_not(x3)))), godel_conorm(fuzzy_not(fuzzy_not(fuzzy_not(x16))), x7)))","fuzzy_not,godel_s_implication,fuzzy_not,godel_s_implication,x1,fuzzy_not,fuzzy_not,x3,godel_conorm,fuzzy_not,fuzzy_not,fuzzy_not,x16,x7",3.209667072689,3.209667072689,False,0.0766065210509655,0.0766065210509655
18,0.08040842373962986,1,0,"fuzzy_not(godel_conorm(fuzzy_not(fuzzy_not(fuzzy_not(fuzzy_not(fuzzy_not(x9))))), godel_conorm(x2, godel_s_implication(x16, godel_s_implication(fuzzy_not(x3), x7)))))","fuzzy_not,godel_conorm,fuzzy_not,fuzzy_not,fuzzy_not,fuzzy_not,fuzzy_not,x9,godel_conorm,x2,godel_s_implication,x16,godel_s_implication,fuzzy_not,x3,x7",3.171155469142852,3.171155469142852,False,0.08040842373962986,0.08040842373962986
