complexity,r,count_on_policy,count_off_policy,expression,traversal,nmse_test,nmse_test_noiseless,success,f1_score,f1_score_noiseless
1,0.014434615648357674,4903,0,x16,x16,63.258059653373536,63.258059653373536,False,0.014434615648357674,0.014434615648357674
3,0.014470834908740935,1,0,"godel_norm(x11, x16)","godel_norm,x11,x16",63.097411250009614,63.097411250009614,False,0.014470834908740935,0.014470834908740935
4,0.014796063890473474,1,0,"godel_norm(fuzzy_not(x2), x16)","godel_norm,fuzzy_not,x2,x16",60.81092233089828,60.81092233089828,False,0.014796063890473474,0.014796063890473474
5,0.03114951768488746,1,0,"fuzzy_not(godel_conorm(x10, fuzzy_not(x16)))","fuzzy_not,godel_conorm,x10,fuzzy_not,x16",10.609396611198951,10.609396611198951,False,0.03114951768488746,0.03114951768488746
6,0.045990823683635565,1,0,"godel_norm(fuzzy_not(x3), fuzzy_not(fuzzy_not(x16)))","godel_norm,fuzzy_not,x3,fuzzy_not,fuzzy_not,x16",19.218390501057964,19.218390501057964,False,0.045990823683635565,0.045990823683635565
7,0.05160637490513535,1,0,"godel_norm(fuzzy_not(x11), godel_norm(x16, fuzzy_not(x4)))","godel_norm,fuzzy_not,x11,godel_norm,x16,fuzzy_not,x4",8.250285811114885,8.250285811114885,False,0.05160637490513535,0.05160637490513535
8,0.07605466428995841,1,0,"godel_norm(fuzzy_not(fuzzy_not(x16)), fuzzy_not(godel_conorm(x3, x7)))","godel_norm,fuzzy_not,fuzzy_not,x16,fuzzy_not,godel_conorm,x3,x7",3.4220310579577613,3.4220310579577613,False,0.07605466428995841,0.07605466428995841
10,0.0766065210509655,1,0,"fuzzy_not(godel_s_implication(x16, godel_conorm(x7, godel_conorm(x3, fuzzy_not(x1)))))","fuzzy_not,godel_s_implication,x16,godel_conorm,x7,godel_conorm,x3,fuzzy_not,x1",3.209667072689,3.209667072689,False,0.0766065210509655,0.0766065210509655
18,0.08,1,0,"fuzzy_not(fuzzy_not(fuzzy_not(fuzzy_not(fuzzy_not(fuzzy_not(godel_norm(fuzzy_not(x3), fuzzy_not(fuzzy_not(fuzzy_not(godel_s_implication(x16, godel_conorm(x2, x7))))))))))))","fuzzy_not,fuzzy_not,fuzzy_not,fuzzy_not,fuzzy_not,fuzzy_not,godel_norm,fuzzy_not,x3,fuzzy_not,fuzzy_not,fuzzy_not,godel_s_implication,x16,godel_conorm,x2,x7",3.1887607736210906,3.1887607736210906,False,0.08,0.08
