Evaluated expression,complexity,seed,F1 score,accuracy,precision,recall
"fuzzy_not(godel_conorm(newbalanceOrig, fuzzy_not(fuzzy_not(godel_conorm(fuzzy_not(godel_norm(fuzzy_not(godel_conorm(fuzzy_not(type_TRANSFER), oldbalanceDest)), type_TRANSFER)), is_workday)))))",15,11,0.07275320970042795,0.9956666666666667,0.05039525691699605,0.13076923076923078
type_TRANSFER,1,12,0.015157730247094445,0.9159683333333334,0.007696122185857384,0.49743589743589745
"godel_norm(type_TRANSFER, fuzzy_not(meanDest3))",4,12,0.02865590175119399,0.9857633333333333,0.015722485650112302,0.16153846153846155
"fuzzy_not(godel_conorm(newbalanceDest, fuzzy_not(type_TRANSFER)))",5,12,0.04566768603465851,0.9843966666666667,0.024806201550387597,0.28717948717948716
"fuzzy_not(fuzzy_not(godel_norm(fuzzy_not(oldbalanceDest), type_TRANSFER)))",6,12,0.049058035149829315,0.97493,0.02580130336480915,0.49743589743589745
"godel_norm(fuzzy_not(fuzzy_not(fuzzy_not(godel_conorm(maxDest3, oldbalanceDest)))), type_TRANSFER)",8,12,0.055401662049861494,0.991475,0.032362459546925564,0.19230769230769232
"godel_norm(godel_conorm(is_workday, type_TRANSFER), fuzzy_not(godel_conorm(fuzzy_not(fuzzy_not(is_workday)), oldbalanceDest)))",10,12,0.0697986577181208,0.99538,0.04727272727272727,0.13333333333333333
"fuzzy_not(godel_conorm(is_workday, fuzzy_not(godel_norm(fuzzy_not(newbalanceOrig), godel_norm(fuzzy_not(fuzzy_not(fuzzy_not(oldbalanceDest))), type_TRANSFER)))))",13,12,0.07275320970042795,0.9956666666666667,0.05039525691699605,0.13076923076923078
type_TRANSFER,1,13,0.015157730247094445,0.9159683333333334,0.007696122185857384,0.49743589743589745
"godel_norm(fuzzy_not(oldbalanceDest), type_TRANSFER)",4,13,0.049058035149829315,0.97493,0.02580130336480915,0.49743589743589745
"fuzzy_not(godel_conorm(fuzzy_not(type_TRANSFER), godel_conorm(newbalanceOrig, oldbalanceDest)))",7,13,0.04988235294117647,0.976445,0.0263213905640298,0.4756410256410256
