Evaluated expression,complexity,seed,F1 score,accuracy,precision,recall
"lukasiewicz_s_implication(lukasiewicz_conorm(lukasiewicz_conorm(maxDest7, oldbalanceDest), fuzzy_not(type_TRANSFER)), lukasiewicz_norm(lukasiewicz_norm(fuzzy_not(fuzzy_not(fuzzy_not(oldbalanceDest))), type_DEBIT), type_TRANSFER))",16,2,0.13530655391120508,0.997955,0.15023474178403756,0.12307692307692308
"lukasiewicz_s_implication(is_workday, type_TRANSFER)",4,3,0.007814774520770446,0.7841633333333333,0.003930878204436497,0.6538461538461539
"lukasiewicz_s_implication(fuzzy_not(type_TRANSFER), type_TRANSFER)",5,3,0.015157730247094445,0.9159683333333334,0.007696122185857384,0.49743589743589745
"lukasiewicz_s_implication(lukasiewicz_conorm(oldbalanceDest, fuzzy_not(type_TRANSFER)), type_DEBIT)",7,3,0.039448934980428035,0.9685083333333333,0.02053888094859986,0.49743589743589745
"lukasiewicz_s_implication(lukasiewicz_conorm(fuzzy_not(type_TRANSFER), lukasiewicz_conorm(oldbalanceDest, oldbalanceDest)), type_DEBIT)",9,3,0.07287069208376373,0.983545,0.03931502685175803,0.49743589743589745
"lukasiewicz_s_implication(fuzzy_not(fuzzy_not(lukasiewicz_conorm(oldbalanceDest, fuzzy_not(lukasiewicz_norm(type_TRANSFER, fuzzy_not(maxDest7)))))), lukasiewicz_norm(newbalanceOrig, type_TRANSFER))",14,3,0.08222871264884296,0.9931916666666667,0.04985017706347045,0.23461538461538461
"lukasiewicz_s_implication(lukasiewicz_conorm(oldbalanceDest, lukasiewicz_conorm(oldbalanceDest, fuzzy_not(lukasiewicz_norm(fuzzy_not(fuzzy_not(type_TRANSFER)), maxDest7)))), lukasiewicz_norm(type_PAYMENT, type_TRANSFER))",15,3,0.08976951071572989,0.9924966666666667,0.05328852616418627,0.2846153846153846
"lukasiewicz_s_implication(lukasiewicz_conorm(fuzzy_not(type_TRANSFER), fuzzy_not(type_CASH_OUT)), lukasiewicz_norm(fuzzy_not(oldbalanceDest), fuzzy_not(fuzzy_not(lukasiewicz_norm(type_TRANSFER, fuzzy_not(oldbalanceDest))))))",16,3,0.11418481459682167,0.9899666666666667,0.06449468085106383,0.49743589743589745
"lukasiewicz_s_implication(lukasiewicz_conorm(lukasiewicz_conorm(meanDest7, lukasiewicz_conorm(type_PAYMENT, oldbalanceDest)), fuzzy_not(oldbalanceDest)), fuzzy_not(fuzzy_not(lukasiewicz_norm(fuzzy_not(lukasiewicz_conorm(maxDest7, oldbalanceDest)), type_TRANSFER))))",18,3,0.13530655391120508,0.997955,0.15023474178403756,0.12307692307692308
"lukasiewicz_s_implication(is_workday, type_TRANSFER)",4,4,0.007814774520770446,0.7841633333333333,0.003930878204436497,0.6538461538461539
"lukasiewicz_s_implication(fuzzy_not(type_TRANSFER), type_TRANSFER)",5,4,0.015157730247094445,0.9159683333333334,0.007696122185857384,0.49743589743589745
"lukasiewicz_s_implication(lukasiewicz_conorm(fuzzy_not(type_TRANSFER), newbalanceDest), type_DEBIT)",7,4,0.0327892849301032,0.977975,0.017387254521462392,0.28717948717948716
"lukasiewicz_s_implication(lukasiewicz_conorm(oldbalanceDest, fuzzy_not(lukasiewicz_norm(newbalanceDest, type_TRANSFER))), type_DEBIT)",9,4,0.053411342832877226,0.9832816666666667,0.02882754405622899,0.3628205128205128
"lukasiewicz_s_implication(lukasiewicz_conorm(fuzzy_not(newbalanceDest), fuzzy_not(fuzzy_not(lukasiewicz_conorm(oldbalanceDest, oldbalanceDest)))), type_DEBIT)",11,4,0.05584129316678913,0.98715,0.030869212022745736,0.2923076923076923
"lukasiewicz_s_implication(lukasiewicz_conorm(fuzzy_not(lukasiewicz_norm(fuzzy_not(oldbalanceDest), fuzzy_not(fuzzy_not(type_TRANSFER)))), oldbalanceDest), type_DEBIT)",12,4,0.07287069208376373,0.983545,0.03931502685175803,0.49743589743589745
"lukasiewicz_s_implication(fuzzy_not(lukasiewicz_norm(type_TRANSFER, type_CASH_IN)), lukasiewicz_norm(newbalanceDest, lukasiewicz_norm(fuzzy_not(lukasiewicz_conorm(oldbalanceDest, oldbalanceDest)), type_TRANSFER)))",14,4,0.09095951192457018,0.9945366666666666,0.05803255484784147,0.21025641025641026
"lukasiewicz_s_implication(fuzzy_not(lukasiewicz_norm(fuzzy_not(fuzzy_not(fuzzy_not(newbalanceDest))), newbalanceDest)), lukasiewicz_norm(newbalanceDest, fuzzy_not(lukasiewicz_conorm(oldbalanceDest, oldbalanceDest))))",15,4,0.10572687224669605,0.9935716666666666,0.06453439003679592,0.2923076923076923
"lukasiewicz_s_implication(lukasiewicz_conorm(type_TRANSFER, fuzzy_not(type_TRANSFER)), lukasiewicz_norm(lukasiewicz_norm(fuzzy_not(fuzzy_not(newbalanceDest)), lukasiewicz_norm(fuzzy_not(oldbalanceDest), fuzzy_not(oldbalanceDest))), newbalanceDest))",17,4,0.16298168035375868,0.9977916666666666,0.16064757160647572,0.16538461538461538
"lukasiewicz_s_implication(is_workday, type_TRANSFER)",4,5,0.007814774520770446,0.7841633333333333,0.003930878204436497,0.6538461538461539
"lukasiewicz_s_implication(fuzzy_not(type_TRANSFER), type_TRANSFER)",5,5,0.015157730247094445,0.9159683333333334,0.007696122185857384,0.49743589743589745
"lukasiewicz_s_implication(lukasiewicz_conorm(fuzzy_not(type_TRANSFER), oldbalanceDest), type_DEBIT)",7,5,0.039448934980428035,0.9685083333333333,0.02053888094859986,0.49743589743589745
"lukasiewicz_s_implication(lukasiewicz_conorm(fuzzy_not(type_TRANSFER), oldbalanceDest), lukasiewicz_norm(type_DEBIT, type_TRANSFER))",9,5,0.049058035149829315,0.97493,0.02580130336480915,0.49743589743589745
"lukasiewicz_s_implication(fuzzy_not(lukasiewicz_norm(fuzzy_not(lukasiewicz_conorm(oldbalanceDest, oldbalanceDest)), type_TRANSFER)), type_DEBIT)",10,5,0.07287069208376373,0.983545,0.03931502685175803,0.49743589743589745
"lukasiewicz_s_implication(lukasiewicz_conorm(lukasiewicz_conorm(fuzzy_not(type_TRANSFER), newbalanceDest), oldbalanceDest), lukasiewicz_norm(type_CASH_IN, type_TRANSFER))",11,5,0.12013729977116705,0.9974366666666666,0.10847107438016529,0.1346153846153846
"lukasiewicz_s_implication(lukasiewicz_conorm(lukasiewicz_conorm(maxDest3, fuzzy_not(fuzzy_not(oldbalanceDest))), fuzzy_not(fuzzy_not(fuzzy_not(type_TRANSFER)))), lukasiewicz_norm(type_CASH_IN, type_TRANSFER))",15,5,0.13168086754453912,0.9981316666666666,0.16634050880626222,0.10897435897435898
"lukasiewicz_s_implication(lukasiewicz_conorm(lukasiewicz_conorm(fuzzy_not(type_TRANSFER), maxDest7), lukasiewicz_norm(oldbalanceDest, type_TRANSFER)), lukasiewicz_norm(lukasiewicz_norm(maxDest3, lukasiewicz_norm(lukasiewicz_norm(type_PAYMENT, type_TRANSFER), type_CASH_IN)), type_TRANSFER))",19,5,0.13530655391120508,0.997955,0.15023474178403756,0.12307692307692308
"lukasiewicz_s_implication(is_workday, type_TRANSFER)",4,6,0.007814774520770446,0.7841633333333333,0.003930878204436497,0.6538461538461539
"lukasiewicz_s_implication(fuzzy_not(type_TRANSFER), type_TRANSFER)",5,6,0.015157730247094445,0.9159683333333334,0.007696122185857384,0.49743589743589745
"lukasiewicz_s_implication(lukasiewicz_conorm(meanDest7, fuzzy_not(type_TRANSFER)), type_DEBIT)",7,6,0.01976047904191617,0.9781733333333333,0.010492845786963434,0.16923076923076924
