Evaluated expression,complexity,seed,F1 score,accuracy,precision,recall
"lukasiewicz_s_implication(lukasiewicz_conorm(fuzzy_not(type_TRANSFER), lukasiewicz_conorm(lukasiewicz_norm(lukasiewicz_norm(lukasiewicz_norm(newbalanceOrig, lukasiewicz_conorm(maxDest3, fuzzy_not(type_CASH_IN))), oldbalanceOrig), maxDest3), lukasiewicz_conorm(newbalanceDest, oldbalanceDest))), lukasiewicz_norm(type_TRANSFER, type_DEBIT))",22,2,0.124777183600713,0.997545,0.11627906976744186,0.1346153846153846
"lukasiewicz_s_implication(is_workday, type_TRANSFER)",4,3,0.007814774520770446,0.7841633333333333,0.003930878204436497,0.6538461538461539
"lukasiewicz_s_implication(fuzzy_not(type_TRANSFER), type_TRANSFER)",5,3,0.015157730247094445,0.9159683333333334,0.007696122185857384,0.49743589743589745
"lukasiewicz_s_implication(lukasiewicz_conorm(oldbalanceDest, fuzzy_not(type_TRANSFER)), type_DEBIT)",7,3,0.039448934980428035,0.9685083333333333,0.02053888094859986,0.49743589743589745
"lukasiewicz_s_implication(lukasiewicz_conorm(fuzzy_not(type_TRANSFER), lukasiewicz_conorm(oldbalanceDest, newbalanceOrig)), type_DEBIT)",9,3,0.07241143749390067,0.9841583333333334,0.03918876095912116,0.4756410256410256
"lukasiewicz_s_implication(lukasiewicz_conorm(oldbalanceDest, lukasiewicz_conorm(type_PAYMENT, lukasiewicz_conorm(fuzzy_not(type_TRANSFER), oldbalanceDest))), fuzzy_not(lukasiewicz_conorm(fuzzy_not(type_DEBIT), lukasiewicz_conorm(type_DEBIT, oldbalanceDest))))",17,3,0.11418481459682167,0.9899666666666667,0.06449468085106383,0.49743589743589745
"lukasiewicz_s_implication(is_workday, type_TRANSFER)",4,4,0.007814774520770446,0.7841633333333333,0.003930878204436497,0.6538461538461539
"lukasiewicz_s_implication(fuzzy_not(type_TRANSFER), type_TRANSFER)",5,4,0.015157730247094445,0.9159683333333334,0.007696122185857384,0.49743589743589745
"lukasiewicz_s_implication(lukasiewicz_conorm(fuzzy_not(newbalanceDest), oldbalanceDest), type_DEBIT)",7,4,0.022791706042581576,0.9414033333333334,0.011648389113017785,0.5256410256410257
"lukasiewicz_s_implication(fuzzy_not(lukasiewicz_norm(fuzzy_not(newbalanceDest), type_TRANSFER)), type_DEBIT)",8,4,0.0327892849301032,0.977975,0.017387254521462392,0.28717948717948716
"lukasiewicz_s_implication(lukasiewicz_conorm(fuzzy_not(fuzzy_not(fuzzy_not(type_TRANSFER))), oldbalanceDest), type_DEBIT)",9,4,0.039448934980428035,0.9685083333333333,0.02053888094859986,0.49743589743589745
"lukasiewicz_s_implication(lukasiewicz_conorm(fuzzy_not(oldbalanceDest), oldbalanceDest), lukasiewicz_norm(fuzzy_not(oldbalanceDest), type_TRANSFER))",10,4,0.049058035149829315,0.97493,0.02580130336480915,0.49743589743589745
"lukasiewicz_s_implication(lukasiewicz_conorm(oldbalanceDest, fuzzy_not(fuzzy_not(lukasiewicz_conorm(oldbalanceDest, fuzzy_not(type_TRANSFER))))), type_DEBIT)",11,4,0.07287069208376373,0.983545,0.03931502685175803,0.49743589743589745
"lukasiewicz_s_implication(lukasiewicz_conorm(fuzzy_not(lukasiewicz_norm(fuzzy_not(fuzzy_not(newbalanceDest)), newbalanceDest)), oldbalanceDest), lukasiewicz_norm(type_PAYMENT, oldbalanceDest))",13,4,0.10028490028490028,0.992105,0.0588628762541806,0.3384615384615385
"lukasiewicz_s_implication(lukasiewicz_s_implication(newbalanceDest, newbalanceDest), fuzzy_not(lukasiewicz_conorm(fuzzy_not(lukasiewicz_norm(fuzzy_not(oldbalanceDest), fuzzy_not(fuzzy_not(newbalanceDest)))), oldbalanceDest)))",16,4,0.10572687224669605,0.9935716666666666,0.06453439003679592,0.2923076923076923
"lukasiewicz_s_implication(lukasiewicz_s_implication(fuzzy_not(maxDest3), lukasiewicz_conorm(fuzzy_not(lukasiewicz_conorm(maxDest7, type_TRANSFER)), oldbalanceDest)), fuzzy_not(lukasiewicz_conorm(fuzzy_not(type_TRANSFER), type_TRANSFER)))",17,4,0.1312741312741313,0.998125,0.1650485436893204,0.10897435897435898
"lukasiewicz_s_implication(is_workday, type_TRANSFER)",4,5,0.007814774520770446,0.7841633333333333,0.003930878204436497,0.6538461538461539
"lukasiewicz_s_implication(fuzzy_not(type_TRANSFER), type_TRANSFER)",5,5,0.015157730247094445,0.9159683333333334,0.007696122185857384,0.49743589743589745
"lukasiewicz_s_implication(lukasiewicz_conorm(oldbalanceDest, fuzzy_not(type_TRANSFER)), type_DEBIT)",7,5,0.039448934980428035,0.9685083333333333,0.02053888094859986,0.49743589743589745
"lukasiewicz_s_implication(lukasiewicz_conorm(fuzzy_not(type_TRANSFER), lukasiewicz_conorm(newbalanceOrig, oldbalanceDest)), type_DEBIT)",9,5,0.07241143749390067,0.9841583333333334,0.03918876095912116,0.4756410256410256
"lukasiewicz_s_implication(lukasiewicz_s_implication(oldbalanceDest, newbalanceDest), lukasiewicz_norm(fuzzy_not(newbalanceOrig), fuzzy_not(lukasiewicz_conorm(oldbalanceDest, fuzzy_not(type_TRANSFER)))))",14,5,0.10400897112419401,0.9893466666666667,0.058388416745357254,0.4756410256410256
"lukasiewicz_s_implication(lukasiewicz_conorm(lukasiewicz_conorm(lukasiewicz_norm(fuzzy_not(type_TRANSFER), fuzzy_not(type_DEBIT)), lukasiewicz_conorm(type_DEBIT, newbalanceOrig)), oldbalanceDest), lukasiewicz_norm(fuzzy_not(type_TRANSFER), type_TRANSFER))",17,5,0.11604629340006255,0.99058,0.06608478802992519,0.4756410256410256
"lukasiewicz_s_implication(is_workday, type_TRANSFER)",4,6,0.007814774520770446,0.7841633333333333,0.003930878204436497,0.6538461538461539
"lukasiewicz_s_implication(fuzzy_not(type_TRANSFER), type_TRANSFER)",5,6,0.015157730247094445,0.9159683333333334,0.007696122185857384,0.49743589743589745
"lukasiewicz_s_implication(lukasiewicz_conorm(oldbalanceDest, fuzzy_not(type_TRANSFER)), type_DEBIT)",7,6,0.039448934980428035,0.9685083333333333,0.02053888094859986,0.49743589743589745
"lukasiewicz_s_implication(lukasiewicz_s_implication(type_TRANSFER, lukasiewicz_s_implication(maxDest3, oldbalanceDest)), type_DEBIT)",10,6,0.043009226401703335,0.9775266666666667,0.022764838467317805,0.38846153846153847
"lukasiewicz_s_implication(lukasiewicz_conorm(fuzzy_not(type_TRANSFER), fuzzy_not(fuzzy_not(oldbalanceDest))), lukasiewicz_norm(type_TRANSFER, type_DEBIT))",11,6,0.049058035149829315,0.97493,0.02580130336480915,0.49743589743589745
"lukasiewicz_s_implication(fuzzy_not(lukasiewicz_norm(type_TRANSFER, lukasiewicz_norm(fuzzy_not(lukasiewicz_norm(type_TRANSFER, oldbalanceDest)), fuzzy_not(oldbalanceDest)))), type_DEBIT)",13,6,0.07287069208376373,0.983545,0.03931502685175803,0.49743589743589745
"lukasiewicz_s_implication(lukasiewicz_s_implication(lukasiewicz_norm(fuzzy_not(newbalanceDest), type_TRANSFER), newbalanceOrig), lukasiewicz_norm(type_DEBIT, lukasiewicz_norm(fuzzy_not(meanDest3), type_TRANSFER)))",15,6,0.10375494071146243,0.9969766666666666,0.08440514469453377,0.1346153846153846
"lukasiewicz_s_implication(lukasiewicz_s_implication(lukasiewicz_norm(oldbalanceOrig, fuzzy_not(fuzzy_not(type_TRANSFER))), lukasiewicz_conorm(type_TRANSFER, meanDest7)), lukasiewicz_norm(fuzzy_not(fuzzy_not(fuzzy_not(lukasiewicz_conorm(oldbalanceDest, oldbalanceDest)))), type_TRANSFER))",20,6,0.11418481459682167,0.9899666666666667,0.06449468085106383,0.49743589743589745
"lukasiewicz_s_implication(is_workday, type_TRANSFER)",4,7,0.007814774520770446,0.7841633333333333,0.003930878204436497,0.6538461538461539
"lukasiewicz_s_implication(fuzzy_not(type_TRANSFER), type_TRANSFER)",5,7,0.015157730247094445,0.9159683333333334,0.007696122185857384,0.49743589743589745
"lukasiewicz_s_implication(lukasiewicz_conorm(maxDest7, fuzzy_not(type_TRANSFER)), type_DEBIT)",7,7,0.02578240273355595,0.9790916666666667,0.01372241051500372,0.2128205128205128
"lukasiewicz_s_implication(fuzzy_not(type_DEBIT), lukasiewicz_norm(fuzzy_not(newbalanceDest), type_TRANSFER))",8,7,0.0327892849301032,0.977975,0.017387254521462392,0.28717948717948716
"lukasiewicz_s_implication(fuzzy_not(type_DEBIT), fuzzy_not(lukasiewicz_conorm(oldbalanceDest, fuzzy_not(type_TRANSFER))))",9,7,0.039448934980428035,0.9685083333333333,0.02053888094859986,0.49743589743589745
"lukasiewicz_s_implication(fuzzy_not(lukasiewicz_norm(type_TRANSFER, fuzzy_not(lukasiewicz_conorm(oldbalanceDest, oldbalanceDest)))), type_DEBIT)",10,7,0.07287069208376373,0.983545,0.03931502685175803,0.49743589743589745
"lukasiewicz_s_implication(lukasiewicz_conorm(lukasiewicz_norm(type_TRANSFER, oldbalanceDest), fuzzy_not(lukasiewicz_norm(fuzzy_not(newbalanceOrig), type_TRANSFER))), type_DEBIT)",12,7,0.07241143749390067,0.9841583333333334,0.03918876095912116,0.4756410256410256
"lukasiewicz_s_implication(lukasiewicz_conorm(fuzzy_not(fuzzy_not(fuzzy_not(fuzzy_not(oldbalanceDest)))), fuzzy_not(fuzzy_not(lukasiewicz_conorm(newbalanceDest, fuzzy_not(type_TRANSFER))))), lukasiewicz_norm(oldbalanceDest, type_PAYMENT))",17,7,0.12013729977116705,0.9974366666666666,0.10847107438016529,0.1346153846153846
"lukasiewicz_s_implication(is_workday, type_TRANSFER)",4,8,0.007814774520770446,0.7841633333333333,0.003930878204436497,0.6538461538461539
"lukasiewicz_s_implication(fuzzy_not(type_TRANSFER), type_TRANSFER)",5,8,0.015157730247094445,0.9159683333333334,0.007696122185857384,0.49743589743589745
"lukasiewicz_s_implication(lukasiewicz_conorm(fuzzy_not(type_TRANSFER), is_workday), type_DEBIT)",7,8,0.017788420422474988,0.9808583333333334,0.009529918445890222,0.13333333333333333
"lukasiewicz_s_implication(lukasiewicz_s_implication(fuzzy_not(fuzzy_not(type_TRANSFER)), oldbalanceDest), type_DEBIT)",9,8,0.039448934980428035,0.9685083333333333,0.02053888094859986,0.49743589743589745
"lukasiewicz_s_implication(fuzzy_not(type_DEBIT), fuzzy_not(lukasiewicz_conorm(fuzzy_not(type_TRANSFER), lukasiewicz_conorm(oldbalanceDest, oldbalanceDest))))",11,8,0.07287069208376373,0.983545,0.03931502685175803,0.49743589743589745
"lukasiewicz_s_implication(lukasiewicz_conorm(lukasiewicz_conorm(fuzzy_not(lukasiewicz_conorm(oldbalanceDest, type_TRANSFER)), oldbalanceDest), lukasiewicz_conorm(oldbalanceDest, newbalanceOrig)), type_DEBIT)",13,8,0.07241143749390067,0.9841583333333334,0.03918876095912116,0.4756410256410256
