complexity,r,count_on_policy,count_off_policy,expression,traversal,nmse_test,nmse_test_noiseless,success,f1_score,f1_score_noiseless
1,0.014434615648357674,4808,0,x16,x16,63.258059653373536,63.258059653373536,False,0.014434615648357674,0.014434615648357674
4,0.045990823683635565,2,0,"godel_norm(fuzzy_not(x3), x16)","godel_norm,fuzzy_not,x3,x16",19.218390501057964,19.218390501057964,False,0.045990823683635565,0.045990823683635565
8,0.10632107907960857,1,0,"product_norm(godel_norm(x16, x1), fuzzy_not(lukasiewicz_conorm(x3, x2)))","product_norm,godel_norm,x16,x1,fuzzy_not,lukasiewicz_conorm,x3,x2",7.436040478996319,7.436040478996319,False,0.10632107907960857,0.10632107907960857
9,0.13333333333333333,1,0,"fuzzy_not(fuzzy_not(fuzzy_not(lukasiewicz_conorm(fuzzy_not(x16), lukasiewicz_conorm(x3, x8)))))","fuzzy_not,fuzzy_not,fuzzy_not,lukasiewicz_conorm,fuzzy_not,x16,lukasiewicz_conorm,x3,x8",1.358909439414095,1.358909439414095,False,0.13333333333333333,0.13333333333333333
13,0.13868613138686134,1,0,"fuzzy_not(godel_conorm(lukasiewicz_s_implication(fuzzy_not(fuzzy_not(x16)), lukasiewicz_conorm(x12, lukasiewicz_conorm(x3, x10))), x2))","fuzzy_not,godel_conorm,lukasiewicz_s_implication,fuzzy_not,fuzzy_not,x16,lukasiewicz_conorm,x12,lukasiewicz_conorm,x3,x10,x2",1.2983912052701474,1.2983912052701474,False,0.13868613138686134,0.13868613138686134
15,0.15079365079365079,1,0,"godel_norm(x16, fuzzy_not(lukasiewicz_conorm(fuzzy_not(fuzzy_not(lukasiewicz_conorm(lukasiewicz_conorm(fuzzy_not(x16), x6), godel_conorm(x3, x8)))), x2)))","godel_norm,x16,fuzzy_not,lukasiewicz_conorm,fuzzy_not,fuzzy_not,lukasiewicz_conorm,lukasiewicz_conorm,fuzzy_not,x16,x6,godel_conorm,x3,x8,x2",1.1773547369822523,1.1773547369822523,False,0.15079365079365079,0.15079365079365079
