complexity,r,count_on_policy,count_off_policy,expression,traversal,nmse_test,nmse_test_noiseless,success,f1_score,f1_score_noiseless
1,0.014434615648357674,1219,0,x16,x16,63.258059653373536,63.258059653373536,False,0.014434615648357674,0.014434615648357674
5,0.06728425158459288,2,0,"fuzzy_not(fuzzy_not(godel_norm(x1, x13)))","fuzzy_not,fuzzy_not,godel_norm,x1,x13",6.314802650038454,6.314802650038454,False,0.06728425158459288,0.06728425158459288
9,0.09937590014402305,1,0,"fuzzy_not(fuzzy_not(godel_norm(product_norm(x13, fuzzy_not(fuzzy_not(x8))), x1)))","fuzzy_not,fuzzy_not,godel_norm,product_norm,x13,fuzzy_not,fuzzy_not,x8,x1",4.128443900147113,4.128443900147113,False,0.09937590014402305,0.09937590014402305
10,0.1015701668302257,1,0,"product_norm(fuzzy_not(x16), lukasiewicz_norm(x13, lukasiewicz_norm(fuzzy_not(fuzzy_not(x11)), x1)))","product_norm,fuzzy_not,x16,lukasiewicz_norm,x13,lukasiewicz_norm,fuzzy_not,fuzzy_not,x11,x1",4.029414062457017,4.029414062457017,False,0.1015701668302257,0.1015701668302257
11,0.11586901763224182,1,0,"lukasiewicz_norm(x13, fuzzy_not(lukasiewicz_conorm(godel_s_implication(lukasiewicz_norm(x1, x9), x6), x14)))","lukasiewicz_norm,x13,fuzzy_not,lukasiewicz_conorm,godel_s_implication,lukasiewicz_norm,x1,x9,x6,x14",3.4759473029223695,3.4759473029223695,False,0.11586901763224182,0.11586901763224182
12,0.1277795176949577,1,0,"product_s_implication(x3, fuzzy_not(product_s_implication(fuzzy_not(product_s_implication(x16, x12)), x11)))","product_s_implication,x3,fuzzy_not,product_s_implication,fuzzy_not,product_s_implication,x16,x12,x11",3.064423310743526,3.064423310743526,False,0.1277795176949577,0.1277795176949577
