complexity,r,count_on_policy,count_off_policy,expression,traversal,nmse_test,nmse_test_noiseless,success,f1_score,f1_score_noiseless
1,0.014434615648357674,1373,0,x16,x16,63.258059653373536,63.258059653373536,False,0.014434615648357674,0.014434615648357674
5,0.028857837181044958,1,0,"fuzzy_not(product_conorm(x1, fuzzy_not(x16)))","fuzzy_not,product_conorm,x1,fuzzy_not,x16",7.035519802116376,7.035519802116376,False,0.028857837181044958,0.028857837181044958
6,0.06882168925964546,1,0,"product_norm(fuzzy_not(fuzzy_not(x16)), fuzzy_not(x4))","product_norm,fuzzy_not,fuzzy_not,x16,fuzzy_not,x4",2.9477881685751908,2.9477881685751908,False,0.06882168925964546,0.06882168925964546
7,0.10462226640159045,1,0,"fuzzy_not(fuzzy_not(fuzzy_not(lukasiewicz_conorm(fuzzy_not(x16), x3))))","fuzzy_not,fuzzy_not,fuzzy_not,lukasiewicz_conorm,fuzzy_not,x16,x3",7.928989004387019,7.928989004387019,False,0.10462226640159045,0.10462226640159045
11,0.13333333333333333,1,0,"fuzzy_not(godel_r_implication(x16, godel_conorm(x3, fuzzy_not(godel_conorm(x14, fuzzy_not(x8))))))","fuzzy_not,godel_r_implication,x16,godel_conorm,x3,fuzzy_not,godel_conorm,x14,fuzzy_not,x8",1.358909439414095,1.358909439414095,False,0.13333333333333333,0.13333333333333333
13,0.14581734458940906,1,0,"fuzzy_not(godel_s_implication(fuzzy_not(product_s_implication(fuzzy_not(x1), lukasiewicz_s_implication(x16, x3))), x8))","fuzzy_not,godel_s_implication,fuzzy_not,product_s_implication,fuzzy_not,x1,lukasiewicz_s_implication,x16,x3,x8",1.2246689927675205,1.2246689927675205,False,0.14581734458940906,0.14581734458940906
17,0.15236567762630313,1,0,"fuzzy_not(godel_conorm(x2, godel_conorm(x4, godel_conorm(godel_conorm(godel_conorm(x3, x9), product_s_implication(godel_conorm(x16, x3), x8)), x3))))","fuzzy_not,godel_conorm,x2,godel_conorm,x4,godel_conorm,godel_conorm,godel_conorm,x3,x9,product_s_implication,godel_conorm,x16,x3,x8,x3",1.163050427093683,1.163050427093683,False,0.15236567762630313,0.15236567762630313
