complexity,r,count_on_policy,count_off_policy,expression,traversal,nmse_test,nmse_test_noiseless,success,f1_score,f1_score_noiseless
1,0.015351262670650965,4994,0,x14,x14,64.71874975930244,64.71874975930244,False,0.015351262670650965,0.015351262670650965
4,0.018122378785297672,1,0,"lukasiewicz_norm(x8, fuzzy_not(x3))","lukasiewicz_norm,x8,fuzzy_not,x3",66.59151402317515,66.59151402317515,False,0.018122378785297672,0.018122378785297672
5,0.033762860853061634,2,0,"fuzzy_not(lukasiewicz_conorm(fuzzy_not(x14), x8))","fuzzy_not,lukasiewicz_conorm,fuzzy_not,x14,x8",10.643506888625538,10.643506888625538,False,0.033762860853061634,0.033762860853061634
6,0.060785834892529554,1,0,"lukasiewicz_norm(x1, lukasiewicz_norm(fuzzy_not(x3), x4))","lukasiewicz_norm,x1,lukasiewicz_norm,fuzzy_not,x3,x4",11.322961608332585,11.322961608332585,False,0.060785834892529554,0.060785834892529554
7,0.1310598462052825,1,0,"lukasiewicz_norm(lukasiewicz_norm(x14, fuzzy_not(x3)), fuzzy_not(x8))","lukasiewicz_norm,lukasiewicz_norm,x14,fuzzy_not,x3,fuzzy_not,x8",1.4298808230919968,1.4298808230919968,False,0.1310598462052825,0.1310598462052825
11,0.164044364199123,1,0,"lukasiewicz_norm(fuzzy_not(lukasiewicz_s_implication(fuzzy_not(lukasiewicz_s_implication(x4, x3)), x3)), x4)","lukasiewicz_norm,fuzzy_not,lukasiewicz_s_implication,fuzzy_not,lukasiewicz_s_implication,x4,x3,x3,x4",1.7830872441866723,1.7830872441866723,False,0.164044364199123,0.164044364199123
20,0.166839021027232,1,0,"lukasiewicz_norm(x11, fuzzy_not(lukasiewicz_conorm(fuzzy_not(lukasiewicz_norm(fuzzy_not(fuzzy_not(lukasiewicz_norm(lukasiewicz_norm(fuzzy_not(fuzzy_not(fuzzy_not(x14))), x1), lukasiewicz_norm(x4, x8)))), x1)), x3)))","lukasiewicz_norm,x11,fuzzy_not,lukasiewicz_conorm,fuzzy_not,lukasiewicz_norm,fuzzy_not,fuzzy_not,lukasiewicz_norm,lukasiewicz_norm,fuzzy_not,fuzzy_not,fuzzy_not,x14,x1,lukasiewicz_norm,x4,x8,x1,x3",1.329750653872011,1.329750653872011,False,0.166839021027232,0.166839021027232
