complexity,r,count_on_policy,count_off_policy,expression,traversal,nmse_test,nmse_test_noiseless,success,f1_score,f1_score_noiseless
5,0.16779517562420648,1,0,"product_reichenbach(x16, -x2 + x21)","product_reichenbach,x16,sub,x21,x2",1.9839088309905168,1.9839088309905168,False,0.16779517562420648,0.16779517562420648
7,0.2553265200069288,1,0,"product_reichenbach(x3, x13*(-x16 + x21))","product_reichenbach,x3,mul,x13,sub,x21,x16",1.084264437379638,1.084264437379638,False,0.2553265200069288,0.2553265200069288
8,0.33336135160124397,1,0,"product_reichenbach(x3, x21/(x11 + x12))","product_reichenbach,x3,div,x21,add,x12,x11",2.0003026873361036,2.0003026873361036,False,0.33336135160124397,0.33336135160124397
11,0.40157958687727824,1,0,"product_reichenbach(-1.4316640719986566*x21 + 2*x3 + x9, x5)","product_reichenbach,add,add,add,x9,x3,mul,x21,-1.4316640719986566,x3,x5",1.4905798615756363,1.4905798615756363,False,0.40157958687727824,0.40157958687727824
