complexity,r,count_on_policy,count_off_policy,expression,traversal,nmse_test,nmse_test_noiseless,success,f1_score,f1_score_noiseless
1,0.014434615648357674,1082,0,x16,x16,63.258059653373536,63.258059653373536,False,0.014434615648357674,0.014434615648357674
5,0.06728425158459288,1,0,"godel_norm(x13, fuzzy_not(fuzzy_not(x1)))","godel_norm,x13,fuzzy_not,fuzzy_not,x1",6.314802650038454,6.314802650038454,False,0.06728425158459288,0.06728425158459288
8,0.08747087291629323,1,0,"godel_r_implication(godel_conorm(fuzzy_not(x16), x3), fuzzy_not(x4))","godel_r_implication,godel_conorm,fuzzy_not,x16,x3,fuzzy_not,x4",5.601787818669763,5.601787818669763,False,0.08747087291629323,0.08747087291629323
18,0.09872849663425579,1,0,"product_norm(lukasiewicz_s_implication(godel_conorm(x7, lukasiewicz_s_implication(fuzzy_not(godel_norm(fuzzy_not(lukasiewicz_norm(fuzzy_not(x5), x12)), x5)), x3)), x2), x16)","product_norm,lukasiewicz_s_implication,godel_conorm,x7,lukasiewicz_s_implication,fuzzy_not,godel_norm,fuzzy_not,lukasiewicz_norm,fuzzy_not,x5,x12,x5,x3,x2,x16",2.651798987034793,2.651798987034793,False,0.09872849663425579,0.09872849663425579
20,0.10802330793366205,1,0,"godel_r_implication(godel_r_implication(fuzzy_not(fuzzy_not(fuzzy_not(x4))), fuzzy_not(fuzzy_not(godel_r_implication(x16, x3)))), fuzzy_not(lukasiewicz_conorm(product_conorm(x14, x13), x11)))","godel_r_implication,godel_r_implication,fuzzy_not,fuzzy_not,fuzzy_not,x4,fuzzy_not,fuzzy_not,godel_r_implication,x16,x3,fuzzy_not,lukasiewicz_conorm,product_conorm,x14,x13,x11",4.3793194889620235,4.3793194889620235,False,0.10802330793366205,0.10802330793366205
