complexity,r,count_on_policy,count_off_policy,expression,traversal,nmse_test,nmse_test_noiseless,success,f1_score,f1_score_noiseless
1,0.014434615648357674,998,0,x16,x16,63.258059653373536,63.258059653373536,False,0.014434615648357674,0.014434615648357674
6,0.02796591653921783,1,0,"lukasiewicz_norm(fuzzy_not(fuzzy_not(fuzzy_not(x7))), x16)","lukasiewicz_norm,fuzzy_not,fuzzy_not,fuzzy_not,x7,x16",9.790749952960823,9.790749952960823,False,0.02796591653921783,0.02796591653921783
9,0.06728425158459288,1,0,"fuzzy_not(fuzzy_not(fuzzy_not(fuzzy_not(fuzzy_not(fuzzy_not(lukasiewicz_norm(x1, x13)))))))","fuzzy_not,fuzzy_not,fuzzy_not,fuzzy_not,fuzzy_not,fuzzy_not,lukasiewicz_norm,x1,x13",6.314802650038454,6.314802650038454,False,0.06728425158459288,0.06728425158459288
10,0.09937590014402305,1,0,"fuzzy_not(fuzzy_not(fuzzy_not(godel_s_implication(lukasiewicz_norm(x13, x1), fuzzy_not(x8)))))","fuzzy_not,fuzzy_not,fuzzy_not,godel_s_implication,lukasiewicz_norm,x13,x1,fuzzy_not,x8",4.128443900147113,4.128443900147113,False,0.09937590014402305,0.09937590014402305
11,0.09997585124366096,1,0,"product_norm(x1, product_norm(lukasiewicz_r_implication(fuzzy_not(x13), fuzzy_not(fuzzy_not(x13))), x10))","product_norm,x1,product_norm,lukasiewicz_r_implication,fuzzy_not,x13,fuzzy_not,fuzzy_not,x13,x10",4.100935611899864,4.100935611899864,False,0.09997585124366096,0.09997585124366096
17,0.11586901763224182,1,0,"fuzzy_not(lukasiewicz_s_implication(x9, godel_conorm(fuzzy_not(x1), product_conorm(fuzzy_not(godel_r_implication(godel_norm(x9, fuzzy_not(x15)), x13)), x15))))","fuzzy_not,lukasiewicz_s_implication,x9,godel_conorm,fuzzy_not,x1,product_conorm,fuzzy_not,godel_r_implication,godel_norm,x9,fuzzy_not,x15,x13,x15",3.4759473029223695,3.4759473029223695,False,0.11586901763224182,0.11586901763224182
20,0.12128325508607199,1,0,"fuzzy_not(fuzzy_not(product_r_implication(x3, fuzzy_not(fuzzy_not(fuzzy_not(godel_s_implication(x16, fuzzy_not(fuzzy_not(lukasiewicz_r_implication(lukasiewicz_conorm(x12, fuzzy_not(x10)), x3))))))))))","fuzzy_not,fuzzy_not,product_r_implication,x3,fuzzy_not,fuzzy_not,fuzzy_not,godel_s_implication,x16,fuzzy_not,fuzzy_not,lukasiewicz_r_implication,lukasiewicz_conorm,x12,fuzzy_not,x10,x3",2.47134461613284,2.47134461613284,False,0.12128325508607199,0.12128325508607199
